query_id,error,nid,nid_s,teds,teds_s,mhs,mhs_s,ard,bleu,meteor
01030000000001,,0.9899,0.9899,0.0,0.0,0.0,0.0,0.6121,0.9307,0.9738
01030000000002,,0.9849,0.9849,0.0,0.0,0.0,0.0,0.5684,0.9048,0.9681
01030000000003,,0.9717,0.9717,0.0,0.0,0.0,0.0,0.5926,0.885,0.9693
01030000000004,,0.9859,0.9859,0.0,0.0,0.0,0.0,0.6908,0.9052,0.9744
01030000000005,,0.5778,0.5778,0.0,0.0,0.0,0.0,0.7119,0.1557,0.7067
01030000000006,,0.6602,0.6602,0.0,0.0,0.0,0.0,0.6512,0.2569,0.7846
01030000000007,,0.8297,0.8297,0.0,0.0,0.0,0.0,0.4968,0.5312,0.9329
01030000000008,,0.7974,0.7974,0.0,0.0,0.0,0.0,0.2524,0.8189,0.829
01030000000009,,0.7337,0.7337,0.0,0.0,0.0,0.0,0.4316,0.872,0.8683
01030000000010,,0.8621,0.8621,0.0,0.0,0.0,0.0,0.3555,0.7212,0.8213
